Instance1:'EPSTI1_hyphen_5783'=3071.488866,'IFI44L_hyphen_8742'=4641.657602,'RASGRP1_hyphen_17826'=9462.487943,'HS3ST3B1_hyphen_8547'=4538.576971,'PPP3CC_hyphen_17016'=9032.335259,'ETV3_hyphen_5874'=3119.964622,'IFI6_hyphen_8743'=4642.214794,'MCOLN2_hyphen_12152'=6451.419154,'PDGFRL_hyphen_16163'=8579.894871,'TNFAIP6_hyphen_22104'=11732.49058,'SOD2_hyphen_20441'=10849.89751,'LAMP3_hyphen_9959'=5287.44382,'CCL5_hyphen_3030'=1610.529879,'CD44_hyphen_3156'=1677.39299,'TSPAN33_hyphen_22570'=11979.88409,'LHFP_hyphen_10114'=5369.908325,'MX1_hyphen_14252'=7565.804346,'CD274_hyphen_3130'=1664.020368,'GBP1_hyphen_7165'=3804.754322,'SULT1A1_hyphen_21027'=11160.81098,'SLC2A6_hyphen_19554'=0.0,'CFLAR_hyphen_3489'=0.0,'NFKBIA_hyphen_14706'=7806.511547,'NBN_hyphen_14478'=7685.600754,'GRAMD1A_hyphen_7708'=4093.380087,'EBI3_hyphen_5404'=2870.342339,'NFKB2_hyphen_14705'=7805.954355,'EZH2_hyphen_5935'=3152.281792,'PPFIBP2_hyphen_16902'=8972.158458,'RQCD1_hyphen_18577'=9860.880649,'IFIT3_hyphen_8748'=4645.000757,'IRF7_hyphen_9092'=4827.759929,'CCL3_hyphen_3019'=1604.957953,'IRF9_hyphen_9094'=4828.874314,'CMPK2_hyphen_3813'=2026.195555,'TNFAIP3_hyphen_22103'=11731.93339,'SAMD9_hyphen_18751'=9953.37462,'KYNU_hyphen_9924'=5269.056465,'TBC1D9_hyphen_21335'=11324.6256,'RHEBL1_hyphen_18129'=9622.959411,Class=MelanomaNormalPassage,'SLC27A1_hyphen_19529'=10366.25433,'ICAM1_hyphen_8697'=0.0,'IFIT5_hyphen_8749'=4645.55795,'PVRL2_hyphen_17567'=9324.861372,'TXN_hyphen_22779'=12090.76542
Instance2:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.0318586,'RASGRP1_hyphen_17826'=0.270143,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=13.5861,'ETV3_hyphen_5874'=11.4322,'IFI6_hyphen_8743'=38.5045,'MCOLN2_hyphen_12152'=6.20765,'PDGFRL_hyphen_16163'=1.04602,'TNFAIP6_hyphen_22104'=1.36922,'SOD2_hyphen_20441'=57.8265,'LAMP3_hyphen_9959'=0.0,'CCL5_hyphen_3030'=0.211715,'CD44_hyphen_3156'=285.294,'TSPAN33_hyphen_22570'=6.67788,'LHFP_hyphen_10114'=24.2632,'MX1_hyphen_14252'=0.616682,'CD274_hyphen_3130'=0.0,'GBP1_hyphen_7165'=0.0,'SULT1A1_hyphen_21027'=0.626761,'SLC2A6_hyphen_19554'=5.12073,'CFLAR_hyphen_3489'=8.14418,'NFKBIA_hyphen_14706'=14.2564,'NBN_hyphen_14478'=13.3908,'GRAMD1A_hyphen_7708'=13.335,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=8.16402,'EZH2_hyphen_5935'=19.1537,'PPFIBP2_hyphen_16902'=19.1351,'RQCD1_hyphen_18577'=51.2256,'IFIT3_hyphen_8748'=5.30145,'IRF7_hyphen_9092'=1.22377,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=5.61576,'CMPK2_hyphen_3813'=0.0862446,'TNFAIP3_hyphen_22103'=33.0173,'SAMD9_hyphen_18751'=2.79949,'KYNU_hyphen_9924'=47.9841,'TBC1D9_hyphen_21335'=12.3794,'RHEBL1_hyphen_18129'=5.19797,Class=MelanomaNormalPassage,'SLC27A1_hyphen_19529'=3.60507,'ICAM1_hyphen_8697'=15.274,'IFIT5_hyphen_8749'=8.25896,'PVRL2_hyphen_17567'=7.88082,'TXN_hyphen_22779'=220.676
Instance3:'EPSTI1_hyphen_5783'=0.0700901,'IFI44L_hyphen_8742'=0.0,'RASGRP1_hyphen_17826'=0.213909,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=4.92319,'ETV3_hyphen_5874'=4.93869,'IFI6_hyphen_8743'=130.712,'MCOLN2_hyphen_12152'=2.1019,'PDGFRL_hyphen_16163'=0.375831,'TNFAIP6_hyphen_22104'=0.0,'SOD2_hyphen_20441'=14.0856,'LAMP3_hyphen_9959'=1.17545,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=26.16,'TSPAN33_hyphen_22570'=18.5553,'LHFP_hyphen_10114'=17.2527,'MX1_hyphen_14252'=3.03386,'CD274_hyphen_3130'=3.65499,'GBP1_hyphen_7165'=0.0723187,'SULT1A1_hyphen_21027'=0.435975,'SLC2A6_hyphen_19554'=2.77205,'CFLAR_hyphen_3489'=3.14651,'NFKBIA_hyphen_14706'=16.7818,'NBN_hyphen_14478'=6.31642,'GRAMD1A_hyphen_7708'=18.748,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=9.61507,'EZH2_hyphen_5935'=26.2117,'PPFIBP2_hyphen_16902'=17.4982,'RQCD1_hyphen_18577'=62.1488,'IFIT3_hyphen_8748'=9.30337,'IRF7_hyphen_9092'=6.44993,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=15.3881,'CMPK2_hyphen_3813'=0.657765,'TNFAIP3_hyphen_22103'=11.0821,'SAMD9_hyphen_18751'=0.946938,'KYNU_hyphen_9924'=0.294426,'TBC1D9_hyphen_21335'=6.70125,'RHEBL1_hyphen_18129'=4.92288,Class=MelanomaNormalPassage,'SLC27A1_hyphen_19529'=9.16594,'ICAM1_hyphen_8697'=40.126,'IFIT5_hyphen_8749'=3.18283,'PVRL2_hyphen_17567'=4.90246,'TXN_hyphen_22779'=120.522
Instance4:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.219961,'RASGRP1_hyphen_17826'=0.390376,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=12.6905,'ETV3_hyphen_5874'=6.60788,'IFI6_hyphen_8743'=18.9293,'MCOLN2_hyphen_12152'=5.07526,'PDGFRL_hyphen_16163'=0.132697,'TNFAIP6_hyphen_22104'=8.94338,'SOD2_hyphen_20441'=9.38687,'LAMP3_hyphen_9959'=0.20438,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=597.613,'TSPAN33_hyphen_22570'=6.56115,'LHFP_hyphen_10114'=5.00321,'MX1_hyphen_14252'=1.15008,'CD274_hyphen_3130'=1.52491,'GBP1_hyphen_7165'=0.0755794,'SULT1A1_hyphen_21027'=1.65553,'SLC2A6_hyphen_19554'=0.2041,'CFLAR_hyphen_3489'=11.1252,'NFKBIA_hyphen_14706'=14.1765,'NBN_hyphen_14478'=18.3415,'GRAMD1A_hyphen_7708'=20.2827,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=4.13704,'EZH2_hyphen_5935'=31.8171,'PPFIBP2_hyphen_16902'=6.64812,'RQCD1_hyphen_18577'=21.8552,'IFIT3_hyphen_8748'=9.06173,'IRF7_hyphen_9092'=0.127075,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=4.05815,'CMPK2_hyphen_3813'=0.0,'TNFAIP3_hyphen_22103'=0.420788,'SAMD9_hyphen_18751'=2.17977,'KYNU_hyphen_9924'=5.81875,'TBC1D9_hyphen_21335'=6.82508,'RHEBL1_hyphen_18129'=3.06521,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=15.4109,'ICAM1_hyphen_8697'=42.2356,'IFIT5_hyphen_8749'=2.70337,'PVRL2_hyphen_17567'=8.22357,'TXN_hyphen_22779'=71.9109
Instance5:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.0296043,'RASGRP1_hyphen_17826'=0.812822,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=5.76024,'ETV3_hyphen_5874'=13.4715,'IFI6_hyphen_8743'=10.6093,'MCOLN2_hyphen_12152'=4.55839,'PDGFRL_hyphen_16163'=1.96241,'TNFAIP6_hyphen_22104'=0.807711,'SOD2_hyphen_20441'=11.7153,'LAMP3_hyphen_9959'=0.0,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=210.419,'TSPAN33_hyphen_22570'=20.141,'LHFP_hyphen_10114'=17.5032,'MX1_hyphen_14252'=0.722609,'CD274_hyphen_3130'=0.0989414,'GBP1_hyphen_7165'=1.0448,'SULT1A1_hyphen_21027'=1.54917,'SLC2A6_hyphen_19554'=7.12536,'CFLAR_hyphen_3489'=15.9496,'NFKBIA_hyphen_14706'=11.7283,'NBN_hyphen_14478'=7.84293,'GRAMD1A_hyphen_7708'=23.2732,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=7.04327,'EZH2_hyphen_5935'=41.8995,'PPFIBP2_hyphen_16902'=7.35039,'RQCD1_hyphen_18577'=35.4745,'IFIT3_hyphen_8748'=3.9949,'IRF7_hyphen_9092'=0.942108,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=12.4919,'CMPK2_hyphen_3813'=0.0,'TNFAIP3_hyphen_22103'=0.907768,'SAMD9_hyphen_18751'=1.76594,'KYNU_hyphen_9924'=0.0,'TBC1D9_hyphen_21335'=3.44241,'RHEBL1_hyphen_18129'=1.50246,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=11.3165,'ICAM1_hyphen_8697'=85.725,'IFIT5_hyphen_8749'=1.60919,'PVRL2_hyphen_17567'=13.7187,'TXN_hyphen_22779'=71.0818
Instance6:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.157765,'RASGRP1_hyphen_17826'=0.127316,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=4.85189,'ETV3_hyphen_5874'=1.81564,'IFI6_hyphen_8743'=6.4446,'MCOLN2_hyphen_12152'=0.32589,'PDGFRL_hyphen_16163'=0.570635,'TNFAIP6_hyphen_22104'=2.22844,'SOD2_hyphen_20441'=21.9744,'LAMP3_hyphen_9959'=0.0,'CCL5_hyphen_3030'=0.343172,'CD44_hyphen_3156'=121.371,'TSPAN33_hyphen_22570'=0.361863,'LHFP_hyphen_10114'=7.33579,'MX1_hyphen_14252'=0.759949,'CD274_hyphen_3130'=4.72549,'GBP1_hyphen_7165'=0.325155,'SULT1A1_hyphen_21027'=3.04865,'SLC2A6_hyphen_19554'=1.73813,'CFLAR_hyphen_3489'=42.156,'NFKBIA_hyphen_14706'=56.2946,'NBN_hyphen_14478'=13.6313,'GRAMD1A_hyphen_7708'=41.3466,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=28.0774,'EZH2_hyphen_5935'=23.7425,'PPFIBP2_hyphen_16902'=3.23554,'RQCD1_hyphen_18577'=22.6622,'IFIT3_hyphen_8748'=5.09014,'IRF7_hyphen_9092'=1.84983,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=15.8822,'CMPK2_hyphen_3813'=0.0,'TNFAIP3_hyphen_22103'=6.1698,'SAMD9_hyphen_18751'=2.17529,'KYNU_hyphen_9924'=282.148,'TBC1D9_hyphen_21335'=2.03728,'RHEBL1_hyphen_18129'=4.38959,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=3.65324,'ICAM1_hyphen_8697'=1.51427,'IFIT5_hyphen_8749'=4.58957,'PVRL2_hyphen_17567'=28.8472,'TXN_hyphen_22779'=366.205
Instance7:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.121385,'RASGRP1_hyphen_17826'=0.669702,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=11.7833,'ETV3_hyphen_5874'=4.33176,'IFI6_hyphen_8743'=62.5436,'MCOLN2_hyphen_12152'=2.8298,'PDGFRL_hyphen_16163'=0.144851,'TNFAIP6_hyphen_22104'=0.0,'SOD2_hyphen_20441'=41.4668,'LAMP3_hyphen_9959'=0.224757,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=110.608,'TSPAN33_hyphen_22570'=7.47905,'LHFP_hyphen_10114'=7.8368,'MX1_hyphen_14252'=2.03514,'CD274_hyphen_3130'=6.78036,'GBP1_hyphen_7165'=0.0830434,'SULT1A1_hyphen_21027'=0.0,'SLC2A6_hyphen_19554'=0.782516,'CFLAR_hyphen_3489'=17.4735,'NFKBIA_hyphen_14706'=6.31166,'NBN_hyphen_14478'=8.90432,'GRAMD1A_hyphen_7708'=7.05744,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=1.3277,'EZH2_hyphen_5935'=21.337,'PPFIBP2_hyphen_16902'=5.34357,'RQCD1_hyphen_18577'=18.8471,'IFIT3_hyphen_8748'=10.6909,'IRF7_hyphen_9092'=1.95789,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=12.0646,'CMPK2_hyphen_3813'=0.432822,'TNFAIP3_hyphen_22103'=3.29871,'SAMD9_hyphen_18751'=18.6105,'KYNU_hyphen_9924'=0.725544,'TBC1D9_hyphen_21335'=3.17756,'RHEBL1_hyphen_18129'=2.19979,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=10.2297,'ICAM1_hyphen_8697'=63.1508,'IFIT5_hyphen_8749'=2.18743,'PVRL2_hyphen_17567'=3.40895,'TXN_hyphen_22779'=73.0701
Instance8:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.0,'RASGRP1_hyphen_17826'=0.390575,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=5.14676,'ETV3_hyphen_5874'=12.3607,'IFI6_hyphen_8743'=28.2374,'MCOLN2_hyphen_12152'=4.62459,'PDGFRL_hyphen_16163'=1.9521,'TNFAIP6_hyphen_22104'=1.40558,'SOD2_hyphen_20441'=36.3527,'LAMP3_hyphen_9959'=0.170134,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=163.742,'TSPAN33_hyphen_22570'=5.95954,'LHFP_hyphen_10114'=4.0643,'MX1_hyphen_14252'=0.769272,'CD274_hyphen_3130'=1.06847,'GBP1_hyphen_7165'=0.0,'SULT1A1_hyphen_21027'=0.0,'SLC2A6_hyphen_19554'=1.15599,'CFLAR_hyphen_3489'=8.51142,'NFKBIA_hyphen_14706'=12.8439,'NBN_hyphen_14478'=5.25234,'GRAMD1A_hyphen_7708'=16.4121,'EBI3_hyphen_5404'=0.317679,'NFKB2_hyphen_14705'=6.96353,'EZH2_hyphen_5935'=17.752,'PPFIBP2_hyphen_16902'=6.58808,'RQCD1_hyphen_18577'=19.1845,'IFIT3_hyphen_8748'=2.77939,'IRF7_hyphen_9092'=0.329534,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=13.6864,'CMPK2_hyphen_3813'=0.0,'TNFAIP3_hyphen_22103'=14.897,'SAMD9_hyphen_18751'=0.279051,'KYNU_hyphen_9924'=21.4235,'TBC1D9_hyphen_21335'=1.98682,'RHEBL1_hyphen_18129'=6.05317,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=9.47453,'ICAM1_hyphen_8697'=128.421,'IFIT5_hyphen_8749'=2.14356,'PVRL2_hyphen_17567'=9.77073,'TXN_hyphen_22779'=52.926
Instance9:'EPSTI1_hyphen_5783'=0.0,'IFI44L_hyphen_8742'=0.21585,'RASGRP1_hyphen_17826'=0.740104,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=10.0139,'ETV3_hyphen_5874'=18.01,'IFI6_hyphen_8743'=49.9068,'MCOLN2_hyphen_12152'=1.55821,'PDGFRL_hyphen_16163'=1.55571,'TNFAIP6_hyphen_22104'=0.0,'SOD2_hyphen_20441'=24.6164,'LAMP3_hyphen_9959'=0.0667564,'CCL5_hyphen_3030'=0.0,'CD44_hyphen_3156'=309.795,'TSPAN33_hyphen_22570'=12.6842,'LHFP_hyphen_10114'=4.55872,'MX1_hyphen_14252'=1.05002,'CD274_hyphen_3130'=0.825634,'GBP1_hyphen_7165'=0.962439,'SULT1A1_hyphen_21027'=0.0,'SLC2A6_hyphen_19554'=1.19923,'CFLAR_hyphen_3489'=5.57398,'NFKBIA_hyphen_14706'=40.3117,'NBN_hyphen_14478'=2.70311,'GRAMD1A_hyphen_7708'=17.8435,'EBI3_hyphen_5404'=0.0,'NFKB2_hyphen_14705'=16.8391,'EZH2_hyphen_5935'=10.3782,'PPFIBP2_hyphen_16902'=3.27866,'RQCD1_hyphen_18577'=18.7852,'IFIT3_hyphen_8748'=1.52504,'IRF7_hyphen_9092'=1.24184,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=23.0011,'CMPK2_hyphen_3813'=0.0,'TNFAIP3_hyphen_22103'=11.5106,'SAMD9_hyphen_18751'=1.49569,'KYNU_hyphen_9924'=4.74402,'TBC1D9_hyphen_21335'=4.64509,'RHEBL1_hyphen_18129'=4.46673,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=13.8558,'ICAM1_hyphen_8697'=112.283,'IFIT5_hyphen_8749'=2.59649,'PVRL2_hyphen_17567'=4.74333,'TXN_hyphen_22779'=57.1725
Instance10:'EPSTI1_hyphen_5783'=0.217856,'IFI44L_hyphen_8742'=0.80472,'RASGRP1_hyphen_17826'=2.14544,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=8.79829,'ETV3_hyphen_5874'=37.6804,'IFI6_hyphen_8743'=43.0621,'MCOLN2_hyphen_12152'=6.23382,'PDGFRL_hyphen_16163'=8.34411,'TNFAIP6_hyphen_22104'=0.75665,'SOD2_hyphen_20441'=125.296,'LAMP3_hyphen_9959'=3.51678,'CCL5_hyphen_3030'=5.78687,'CD44_hyphen_3156'=139.12,'TSPAN33_hyphen_22570'=10.4946,'LHFP_hyphen_10114'=6.38739,'MX1_hyphen_14252'=4.98455,'CD274_hyphen_3130'=0.135124,'GBP1_hyphen_7165'=1.57372,'SULT1A1_hyphen_21027'=0.22859,'SLC2A6_hyphen_19554'=1.41024,'CFLAR_hyphen_3489'=28.1016,'NFKBIA_hyphen_14706'=82.7342,'NBN_hyphen_14478'=6.95714,'GRAMD1A_hyphen_7708'=33.061,'EBI3_hyphen_5404'=1.81149,'NFKB2_hyphen_14705'=28.6994,'EZH2_hyphen_5935'=20.4489,'PPFIBP2_hyphen_16902'=3.44462,'RQCD1_hyphen_18577'=33.346,'IFIT3_hyphen_8748'=2.12436,'IRF7_hyphen_9092'=3.71951,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=13.9034,'CMPK2_hyphen_3813'=0.292628,'TNFAIP3_hyphen_22103'=69.4881,'SAMD9_hyphen_18751'=0.694014,'KYNU_hyphen_9924'=77.9058,'TBC1D9_hyphen_21335'=1.92792,'RHEBL1_hyphen_18129'=4.43084,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=14.8667,'ICAM1_hyphen_8697'=149.838,'IFIT5_hyphen_8749'=2.08557,'PVRL2_hyphen_17567'=20.4605,'TXN_hyphen_22779'=101.139
Instance11:'EPSTI1_hyphen_5783'=0.308124,'IFI44L_hyphen_8742'=1.94738,'RASGRP1_hyphen_17826'=5.63553,'HS3ST3B1_hyphen_8547'=0.0,'PPP3CC_hyphen_17016'=19.0738,'ETV3_hyphen_5874'=17.9219,'IFI6_hyphen_8743'=21.7578,'MCOLN2_hyphen_12152'=2.20104,'PDGFRL_hyphen_16163'=22.1844,'TNFAIP6_hyphen_22104'=7.77835,'SOD2_hyphen_20441'=64.3483,'LAMP3_hyphen_9959'=0.0,'CCL5_hyphen_3030'=0.250198,'CD44_hyphen_3156'=185.241,'TSPAN33_hyphen_22570'=15.5459,'LHFP_hyphen_10114'=7.16902,'MX1_hyphen_14252'=0.0,'CD274_hyphen_3130'=3.37332,'GBP1_hyphen_7165'=1.54543,'SULT1A1_hyphen_21027'=3.45939,'SLC2A6_hyphen_19554'=1.00022,'CFLAR_hyphen_3489'=6.34623,'NFKBIA_hyphen_14706'=27.9938,'NBN_hyphen_14478'=14.8566,'GRAMD1A_hyphen_7708'=26.472,'EBI3_hyphen_5404'=0.279515,'NFKB2_hyphen_14705'=12.1038,'EZH2_hyphen_5935'=19.7467,'PPFIBP2_hyphen_16902'=7.57091,'RQCD1_hyphen_18577'=20.6791,'IFIT3_hyphen_8748'=1.60328,'IRF7_hyphen_9092'=0.286288,'CCL3_hyphen_3019'=0.0,'IRF9_hyphen_9094'=10.2603,'CMPK2_hyphen_3813'=0.423235,'TNFAIP3_hyphen_22103'=79.6782,'SAMD9_hyphen_18751'=1.14744,'KYNU_hyphen_9924'=63.6674,'TBC1D9_hyphen_21335'=2.65025,'RHEBL1_hyphen_18129'=5.85124,Class=MelanomaShortTerm,'SLC27A1_hyphen_19529'=6.86866,'ICAM1_hyphen_8697'=55.7351,'IFIT5_hyphen_8749'=2.08607,'PVRL2_hyphen_17567'=15.5184,'TXN_hyphen_22779'=195.585
