Instance1:'219691_at'=29.4957630114802,'215485_s_at'=110.628150804306,'205114_s_at'=39.9855985982908,'204655_at'=42.9367807408679,'208864_s_at'=172.155825168358,'220091_at'=36.7693893261647,'205569_at'=30.1405347165086,'219424_at'=54.687510818223,'214486_x_at'=156.83681237114,'202643_s_at'=2343.05810185058,'209508_x_at'=129.779624640212,'203149_at'=75.3592912388932,'203358_s_at'=50.1438387380965,'205590_at'=1365.27894665587,'206026_s_at'=16.9260419413678,'221477_s_at'=73.8453494037596,'204439_at'=27.9049472980943,'211317_s_at'=37.6206768742867,'203595_s_at'=78.759331702352,'201502_s_at'=3410.93347327655,'208436_s_at'=168.341781375593,'204385_at'=89.224000488572,'211316_x_at'=180.56795530367,'203882_at'=200.857809034524,'208485_x_at'=117.71171057927,'202086_at'=174.418640070347,'207535_s_at'=161.008195439188,'204490_s_at'=433.970746217225,'204415_at'=170.09198334836,'202644_s_at'=6114.19858643964,'215223_s_at'=394.395201876132,'1405_i_at'=13.60727038927,'206025_s_at'=16.7755314653546,'205226_at'=15.7882482512614,'32541_at'=54.7795141081113,'212960_at'=47.0461417456585,'213098_at'=63.0427142217854,Class=naiveTcells,'210663_s_at'=46.5416488124807,'202907_s_at'=83.8088480649146,'218656_s_at'=13.3090106198372,'210029_at'=42.4149116753509,'211862_x_at'=103.072701985012,'212841_s_at'=96.2081035187957,'215299_x_at'=158.479221089283
Instance2:'219691_at'=31.7060139297015,'215485_s_at'=90.1258469190438,'205114_s_at'=121.590322025179,'204655_at'=47.3550533894619,'208864_s_at'=170.541105638839,'220091_at'=25.4847574703445,'205569_at'=57.7639194413944,'219424_at'=37.3478404116138,'214486_x_at'=197.601249963989,'202643_s_at'=1180.02105405299,'209508_x_at'=136.946688801242,'203149_at'=86.3742474041308,'203358_s_at'=516.746199160026,'205590_at'=1408.79273948407,'206026_s_at'=20.2256311209187,'221477_s_at'=62.6049441221264,'204439_at'=25.5998392127061,'211317_s_at'=51.3814695699576,'203595_s_at'=82.0689619325597,'201502_s_at'=2483.53699441303,'208436_s_at'=89.6819887465782,'204385_at'=107.240433934367,'211316_x_at'=362.358821591925,'203882_at'=364.104227672793,'208485_x_at'=170.88163823958,'202086_at'=119.723978351781,'207535_s_at'=125.692000686091,'204490_s_at'=961.856644256487,'204415_at'=75.1812736984622,'202644_s_at'=3942.23023724317,'215223_s_at'=438.469439282768,'1405_i_at'=26.6147503998332,'206025_s_at'=17.5338987045425,'205226_at'=12.8173231515961,'32541_at'=45.6469210320407,'212960_at'=39.925869857815,'213098_at'=119.561443012303,Class=conventionalTcells,'210663_s_at'=47.8908262308704,'202907_s_at'=166.080333545264,'218656_s_at'=13.1979294279557,'210029_at'=62.38673758254,'211862_x_at'=181.092145142397,'212841_s_at'=83.2103055021623,'215299_x_at'=96.578021757148
Instance3:'219691_at'=25.0523944404787,'215485_s_at'=90.6145513958644,'205114_s_at'=52.8046648916598,'204655_at'=48.6744916450417,'208864_s_at'=506.786220484778,'220091_at'=28.4328625517146,'205569_at'=452.59583873074,'219424_at'=40.4237719753806,'214486_x_at'=223.499402012984,'202643_s_at'=750.480169379468,'209508_x_at'=306.641856103394,'203149_at'=80.1997472623,'203358_s_at'=472.063616892069,'205590_at'=876.863433456486,'206026_s_at'=18.8944203485285,'221477_s_at'=93.3610186596852,'204439_at'=27.6269718786961,'211317_s_at'=105.313531424594,'203595_s_at'=105.464504952175,'201502_s_at'=2270.25481718314,'208436_s_at'=60.9461389945551,'204385_at'=113.075216514755,'211316_x_at'=600.916098390035,'203882_at'=334.695863138483,'208485_x_at'=239.424567139385,'202086_at'=57.4530355996705,'207535_s_at'=70.0282569353027,'204490_s_at'=750.766731821432,'204415_at'=36.256979489216,'202644_s_at'=2520.0841507405,'215223_s_at'=164.614330535157,'1405_i_at'=29.8289915436905,'206025_s_at'=19.8668128408606,'205226_at'=11.5812447863429,'32541_at'=22.1274300286968,'212960_at'=39.7110842802556,'213098_at'=107.850070345971,Class=conventionalTcells,'210663_s_at'=53.8475046130616,'202907_s_at'=223.518319745965,'218656_s_at'=14.6532029970043,'210029_at'=70.946036298809,'211862_x_at'=297.309087180653,'212841_s_at'=56.2908643626674,'215299_x_at'=94.455217476446
Instance4:'219691_at'=41.3771496803148,'215485_s_at'=102.713986326655,'205114_s_at'=107.668591960613,'204655_at'=29.5120897783002,'208864_s_at'=136.45098340574,'220091_at'=39.5811790061669,'205569_at'=38.5294142654516,'219424_at'=42.902987961535,'214486_x_at'=128.32569706114,'202643_s_at'=1037.03565907382,'209508_x_at'=135.80940203029,'203149_at'=73.1389102767357,'203358_s_at'=317.442139235237,'205590_at'=732.744719464282,'206026_s_at'=16.2867145004774,'221477_s_at'=71.4027342617519,'204439_at'=19.4567995920076,'211317_s_at'=47.4809236314982,'203595_s_at'=67.8683608156587,'201502_s_at'=3276.28477302529,'208436_s_at'=127.01243097596,'204385_at'=90.9456532943386,'211316_x_at'=269.974162862639,'203882_at'=180.499477408283,'208485_x_at'=132.374246760099,'202086_at'=128.240565640314,'207535_s_at'=718.711273446647,'204490_s_at'=1028.26306381575,'204415_at'=101.664614290961,'202644_s_at'=3317.05990839135,'215223_s_at'=434.897608809043,'1405_i_at'=16.9706418633469,'206025_s_at'=14.4080108906446,'205226_at'=17.6702778150242,'32541_at'=58.3234549056041,'212960_at'=40.5245266678892,'213098_at'=94.1181980173406,Class=conventionalTcells,'210663_s_at'=45.9774872232753,'202907_s_at'=122.128431682449,'218656_s_at'=12.719719671153,'210029_at'=51.3542621413934,'211862_x_at'=151.653186970387,'212841_s_at'=101.273510636039,'215299_x_at'=102.062814332867
Instance5:'219691_at'=26.201740025273,'215485_s_at'=112.402188016178,'205114_s_at'=68.8019316307191,'204655_at'=50.010053019881,'208864_s_at'=382.304698762314,'220091_at'=54.0525500567236,'205569_at'=272.372947736885,'219424_at'=52.0046298421798,'214486_x_at'=198.472077617769,'202643_s_at'=663.243775204573,'209508_x_at'=223.246379378101,'203149_at'=70.6140722562635,'203358_s_at'=256.753308795177,'205590_at'=667.840003045264,'206026_s_at'=17.749812645761,'221477_s_at'=66.542529254018,'204439_at'=26.1362992222854,'211317_s_at'=65.535636072559,'203595_s_at'=89.3715838679035,'201502_s_at'=1672.99513532106,'208436_s_at'=64.0488589912221,'204385_at'=97.2964784033312,'211316_x_at'=432.627050674463,'203882_at'=283.150911235429,'208485_x_at'=162.094879344792,'202086_at'=68.2453839552957,'207535_s_at'=71.6630979762439,'204490_s_at'=755.44491416997,'204415_at'=41.7895231769317,'202644_s_at'=2302.93244759611,'215223_s_at'=127.723680120559,'1405_i_at'=14.0482071273702,'206025_s_at'=18.6263873217588,'205226_at'=16.6107044974407,'32541_at'=24.5522851969515,'212960_at'=35.2897676033879,'213098_at'=86.9626281037477,Class=conventionalTcells,'210663_s_at'=50.6876687326967,'202907_s_at'=156.0079183514,'218656_s_at'=14.5823580193715,'210029_at'=42.140521653816,'211862_x_at'=168.601134112002,'212841_s_at'=58.1045780925058,'215299_x_at'=72.7055466733092
Instance6:'219691_at'=26.2603358440484,'215485_s_at'=135.287360906792,'205114_s_at'=134.036844816476,'204655_at'=40.0045928727846,'208864_s_at'=127.231065642857,'220091_at'=23.9845657692358,'205569_at'=33.9282543550138,'219424_at'=43.23310364351,'214486_x_at'=139.269219905932,'202643_s_at'=1078.02829347436,'209508_x_at'=105.480968232302,'203149_at'=98.152296963371,'203358_s_at'=299.725534855582,'205590_at'=432.129319420955,'206026_s_at'=20.2427725381525,'221477_s_at'=73.6128717562686,'204439_at'=25.9938054307792,'211317_s_at'=41.0257630166358,'203595_s_at'=64.6216824697628,'201502_s_at'=3115.65883981702,'208436_s_at'=133.209950057663,'204385_at'=108.343382903929,'211316_x_at'=259.071963109205,'203882_at'=271.583736837767,'208485_x_at'=109.672766118347,'202086_at'=150.329403414204,'207535_s_at'=475.657111248684,'204490_s_at'=957.958599228208,'204415_at'=87.033425658883,'202644_s_at'=3479.34046935533,'215223_s_at'=420.714325828509,'1405_i_at'=18.4560499745301,'206025_s_at'=16.6622585414833,'205226_at'=16.3737139852871,'32541_at'=37.026303880669,'212960_at'=38.015286959542,'213098_at'=87.6727878891476,Class=conventionalTcells,'210663_s_at'=62.5590319759996,'202907_s_at'=82.6288257487586,'218656_s_at'=14.3612780813039,'210029_at'=56.4990960711016,'211862_x_at'=121.887716011964,'212841_s_at'=90.0310297102217,'215299_x_at'=125.556743634912
Instance7:'219691_at'=21.7546745734508,'215485_s_at'=87.7017225865504,'205114_s_at'=131.27341244386,'204655_at'=30.6089783726302,'208864_s_at'=467.138005750431,'220091_at'=25.3983928217973,'205569_at'=345.321311313464,'219424_at'=34.8857751829186,'214486_x_at'=242.983339388419,'202643_s_at'=673.241571470456,'209508_x_at'=259.879067476326,'203149_at'=71.1650686953186,'203358_s_at'=329.152090671927,'205590_at'=621.356598460459,'206026_s_at'=20.1043372117801,'221477_s_at'=112.718727736568,'204439_at'=25.5616771258554,'211317_s_at'=80.2661730948075,'203595_s_at'=119.838858844085,'201502_s_at'=2138.44653489813,'208436_s_at'=66.5868812200626,'204385_at'=97.2233745041741,'211316_x_at'=557.508023373325,'203882_at'=391.018314051037,'208485_x_at'=241.413186571565,'202086_at'=56.6339596316968,'207535_s_at'=70.3476535471989,'204490_s_at'=715.059910497753,'204415_at'=40.5525488470997,'202644_s_at'=2340.14736667125,'215223_s_at'=181.419980360368,'1405_i_at'=20.2176281055776,'206025_s_at'=18.3461524698047,'205226_at'=12.0300967373244,'32541_at'=22.4691031962378,'212960_at'=37.9052940936585,'213098_at'=99.6811232614626,Class=conventionalTcells,'210663_s_at'=48.5726852124353,'202907_s_at'=209.768520796878,'218656_s_at'=13.3486958316253,'210029_at'=53.8401533629116,'211862_x_at'=287.350423784884,'212841_s_at'=53.4562965068726,'215299_x_at'=73.517476055507
Instance8:'219691_at'=28.3555127476485,'215485_s_at'=116.447432494559,'205114_s_at'=136.195703837676,'204655_at'=42.5647186120341,'208864_s_at'=140.518766623674,'220091_at'=28.5305540720015,'205569_at'=46.2704907793377,'219424_at'=30.1733977885198,'214486_x_at'=148.739338241626,'202643_s_at'=1129.03112977306,'209508_x_at'=125.602797768765,'203149_at'=78.9444679603014,'203358_s_at'=279.53504045489,'205590_at'=493.020874626392,'206026_s_at'=20.1954423463827,'221477_s_at'=53.814633082232,'204439_at'=26.0890698816427,'211317_s_at'=46.7187392677672,'203595_s_at'=72.5524361348484,'201502_s_at'=2844.20991607415,'208436_s_at'=115.036670492495,'204385_at'=111.345841694894,'211316_x_at'=255.493178252545,'203882_at'=220.005411093138,'208485_x_at'=127.793235560919,'202086_at'=159.517432650071,'207535_s_at'=293.979768972617,'204490_s_at'=960.737055028923,'204415_at'=55.2544319057363,'202644_s_at'=3583.7755604322,'215223_s_at'=434.577776044364,'1405_i_at'=16.7904137439573,'206025_s_at'=16.2362952610852,'205226_at'=15.7200576158361,'32541_at'=47.0843065764151,'212960_at'=42.9946921463618,'213098_at'=106.134425264815,Class=conventionalTcells,'210663_s_at'=49.3291257253983,'202907_s_at'=110.692563397131,'218656_s_at'=12.6309923122717,'210029_at'=66.8463063551083,'211862_x_at'=160.744141742104,'212841_s_at'=116.269870821977,'215299_x_at'=115.974952050819
Instance9:'219691_at'=29.9646029259091,'215485_s_at'=96.167378943159,'205114_s_at'=90.0195048295453,'204655_at'=60.2949161032399,'208864_s_at'=401.133829050972,'220091_at'=23.7547802458992,'205569_at'=300.060388770168,'219424_at'=36.8818772750743,'214486_x_at'=193.074960952304,'202643_s_at'=780.642940427208,'209508_x_at'=144.744301964021,'203149_at'=70.0755113443903,'203358_s_at'=314.604393085464,'205590_at'=509.234911632995,'206026_s_at'=21.9091346642367,'221477_s_at'=108.139477395817,'204439_at'=27.5917460559965,'211317_s_at'=62.6995152842773,'203595_s_at'=116.781842254193,'201502_s_at'=2604.76211173243,'208436_s_at'=53.3102772969979,'204385_at'=101.178035504432,'211316_x_at'=463.350079719047,'203882_at'=396.993436862382,'208485_x_at'=162.709173813571,'202086_at'=64.3503204765625,'207535_s_at'=89.6294787626286,'204490_s_at'=813.060357372042,'204415_at'=45.1902566747287,'202644_s_at'=2567.62753340339,'215223_s_at'=190.945714972672,'1405_i_at'=29.3092894114873,'206025_s_at'=18.665703765435,'205226_at'=14.1974631418948,'32541_at'=18.5024823007276,'212960_at'=37.4022093961874,'213098_at'=110.673974417234,Class=conventionalTcells,'210663_s_at'=44.8501284950179,'202907_s_at'=194.296957354097,'218656_s_at'=13.7154639881208,'210029_at'=57.9570385640329,'211862_x_at'=190.29395985922,'212841_s_at'=59.9438865715018,'215299_x_at'=72.284154304889
Instance10:'219691_at'=41.0847550768596,'215485_s_at'=109.747953266405,'205114_s_at'=111.263104939191,'204655_at'=38.5731404288656,'208864_s_at'=163.529721208868,'220091_at'=41.8524903620299,'205569_at'=59.1807890407499,'219424_at'=46.3221324385097,'214486_x_at'=139.504195499218,'202643_s_at'=1275.50803206684,'209508_x_at'=134.543485861336,'203149_at'=78.0866651034803,'203358_s_at'=468.088600040102,'205590_at'=1573.21719367802,'206026_s_at'=16.9506844803562,'221477_s_at'=67.8742839131661,'204439_at'=21.9634814209807,'211317_s_at'=53.5118044659733,'203595_s_at'=88.9888232112104,'201502_s_at'=2155.52420743234,'208436_s_at'=102.73354639719,'204385_at'=118.261415559987,'211316_x_at'=256.617840437083,'203882_at'=305.868719875267,'208485_x_at'=129.132087679381,'202086_at'=139.242225157283,'207535_s_at'=172.962240961607,'204490_s_at'=912.694948774246,'204415_at'=73.4709960494337,'202644_s_at'=4329.09839511363,'215223_s_at'=475.578703946699,'1405_i_at'=19.4555950606378,'206025_s_at'=17.8497413910894,'205226_at'=19.233305568991,'32541_at'=51.3229038000726,'212960_at'=38.8856083906854,'213098_at'=98.090995887152,Class=conventionalTcells,'210663_s_at'=43.4348640446648,'202907_s_at'=129.550501897927,'218656_s_at'=12.4111824370783,'210029_at'=38.8258382561879,'211862_x_at'=148.900596830152,'212841_s_at'=69.0286226199641,'215299_x_at'=81.3606568350831
